Município,CÓDIGO,NOME,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,SOMA,SUBTRAÇÃO,MÉDIA
171610 PARAISO DO TOCANTINS,,,55,28,11,14,16,9,-,-,,,
171620 PARANA,,,13,3,7,4,4,4,2,2,,,
171630 PAU D'ARCO,,,-,-,-,-,-,-,-,-,,,
171650 PEDRO AFONSO,,,23,8,7,7,9,4,4,-,,,
171660 PEIXE,,,10,4,13,7,-,-,-,-,,,
171665 PEQUIZEIRO,,,-,-,-,-,-,-,-,-,,,
171670 COLMEIA,,,-,2,-,-,-,-,-,-,,,
171700 PINDORAMA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171720 PIRAQUE,,,-,-,-,-,-,-,-,-,,,
171750 PIUM,,,-,-,-,-,-,-,-,-,,,
171780 PONTE ALTA DO BOM JESUS,,,-,-,-,-,-,-,-,-,,,
171790 PONTE ALTA DO TOCANTINS,,,2,-,-,-,-,1,-,-,,,
171800 PORTO ALEGRE DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171820 PORTO NACIONAL,,,78,41,25,23,27,6,-,-,,,
171830 PRAIA NORTE,,,-,-,-,-,-,-,-,-,,,
171840 PRESIDENTE KENNEDY,,,-,-,-,-,-,-,-,-,,,
171845 PUGMIL,,,-,-,-,-,-,-,-,-,,,
171850 RECURSOLANDIA,,,-,-,-,-,-,-,-,-,,,
171855 RIACHINHO,,,-,-,-,-,-,-,-,-,,,
171865 RIO DA CONCEICAO,,,-,-,-,-,-,-,-,-,,,
171870 RIO DOS BOIS,,,-,-,-,-,-,-,-,-,,,
171875 RIO SONO,,,-,-,-,-,-,-,-,-,,,
171880 SAMPAIO,,,-,-,-,-,-,-,-,-,,,
171884 SANDOLANDIA,,,-,-,-,-,-,-,-,-,,,
171886 SANTA FE DO ARAGUAIA,,,-,-,-,-,-,-,-,-,,,
171888 SANTA MARIA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171889 SANTA RITA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171890 SANTA ROSA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
171900 SANTA TEREZA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172000 SANTA TEREZINHA DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172010 SAO BENTO DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172015 SAO FELIX DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172020 SAO MIGUEL DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172025 SAO SALVADOR DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172030 SAO SEBASTIAO DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172049 SAO VALERIO,,,-,-,-,-,-,-,-,-,,,
172065 SILVANOPOLIS,,,4,-,1,-,3,-,1,-,,,
172080 SITIO NOVO DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172085 SUCUPIRA,,,-,-,-,-,-,-,-,-,,,
172090 TAGUATINGA,,,6,6,5,2,1,2,4,1,,,
172093 TAIPAS DO TOCANTINS,,,-,-,-,-,-,-,-,-,,,
172097 TALISMA,,,-,-,-,-,-,-,-,-,,,
172100 PALMAS,,,140,165,123,74,4,1,-,-,,,
172110 TOCANTINIA,,,-,-,-,-,-,-,-,-,,,
172120 TOCANTINOPOLIS,,,2,7,9,6,3,4,5,6,,,
172125 TUPIRAMA,,,-,-,-,-,-,-,-,-,,,
172130 TUPIRATINS,,,-,-,-,-,-,-,-,-,,,
172208 WANDERLANDIA,,,-,-,-,-,-,-,-,-,,,
172210 XAMBIOA,,,25,19,16,5,1,-,-,-,,,
210005 ACAILANDIA,,,60,32,26,26,37,20,10,-,,,
210010 AFONSO CUNHA,,,-,-,-,-,-,-,-,-,,,
210015 AGUA DOCE DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210020 ALCANTARA,,,1,2,-,-,-,-,-,-,,,
210030 ALDEIAS ALTAS,,,93,18,2,24,19,-,-,-,,,
210040 ALTAMIRA DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210043 ALTO ALEGRE DO MARANHAO,,,-,2,13,2,-,-,-,-,,,
210047 ALTO ALEGRE DO PINDARE,,,66,33,31,59,52,45,37,19,,,
210050 ALTO PARNAIBA,,,17,14,11,21,23,15,11,-,,,
210055 AMAPA DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210060 AMARANTE DO MARANHAO,,,261,300,40,44,23,20,16,9,,,
210070 ANAJATUBA,,,5,4,8,-,-,-,-,-,,,
210080 ANAPURUS,,,4,7,3,22,8,3,8,15,,,
210083 APICUM-ACU,,,40,55,42,53,25,26,28,38,,,
210087 ARAGUANA,,,33,33,37,-,-,-,-,-,,,
210090 ARAIOSES,,,16,1,2,4,4,3,2,-,,,
210095 ARAME,,,14,24,12,-,-,-,-,-,,,
210100 ARARI,,,2,-,-,-,-,-,-,-,,,
210110 AXIXA,,,11,11,8,13,11,7,-,-,,,
210120 BACABAL,,,105,76,33,28,37,38,49,22,,,
210125 BACABEIRA,,,-,-,-,-,-,-,-,-,,,
210130 BACURI,,,104,55,34,25,-,-,-,-,,,
210135 BACURITUBA,,,-,-,-,-,-,-,-,-,,,
210140 BALSAS,,,66,49,35,33,33,22,34,13,,,
210150 BARAO DE GRAJAU,,,8,9,5,17,8,10,6,8,,,
210160 BARRA DO CORDA,,,7,8,10,12,14,6,5,1,,,
210170 BARREIRINHAS,,,22,10,6,9,14,14,12,1,,,
210173 BELAGUA,,,-,-,-,-,-,-,-,-,,,
210177 BELA VISTA DO MARANHAO,,,36,37,49,29,-,-,-,-,,,
210180 BENEDITO LEITE,,,-,-,-,-,-,-,-,-,,,
210190 BEQUIMAO,,,11,13,12,7,12,7,8,-,,,
210193 BERNARDO DO MEARIM,,,32,6,5,3,8,17,7,-,,,
210197 BOA VISTA DO GURUPI,,,-,-,-,-,-,-,-,-,,,
210200 BOM JARDIM,,,203,52,52,46,51,23,-,-,,,
210203 BOM JESUS DAS SELVAS,,,34,22,18,20,26,28,27,-,,,
210207 BOM LUGAR,,,-,-,-,-,-,-,-,-,,,
210210 BREJO,,,26,25,5,12,13,8,-,-,,,
210215 BREJO DE AREIA,,,-,-,-,-,-,-,-,-,,,
210220 BURITI,,,-,23,14,38,17,15,-,-,,,
210230 BURITI BRAVO,,,37,20,38,29,14,11,6,-,,,
210232 BURITICUPU,,,50,96,89,25,63,100,12,-,,,
210235 BURITIRANA,,,-,-,-,-,-,-,-,-,,,
210237 CACHOEIRA GRANDE,,,-,-,-,-,-,-,-,-,,,
210240 CAJAPIO,,,3,2,6,7,8,6,7,-,,,
210250 CAJARI,,,1,-,3,8,4,1,3,-,,,
210255 CAMPESTRE DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210260 CANDIDO MENDES,,,15,25,16,25,11,16,16,-,,,
210270 CANTANHEDE,,,27,22,24,31,28,34,13,31,,,
210275 CAPINZAL DO NORTE,,,-,-,-,-,-,-,-,-,,,
210280 CAROLINA,,,40,15,48,45,13,20,24,14,,,
210290 CARUTAPERA,,,16,13,8,6,5,5,10,3,,,
210300 CAXIAS,,,83,99,77,75,94,64,47,16,,,
210310 CEDRAL,,,14,15,12,18,15,14,19,15,,,
210312 CENTRAL DO MARANHAO,,,1,4,7,8,-,-,-,-,,,
210315 CENTRO DO GUILHERME,,,-,-,-,-,-,-,-,-,,,
210317 CENTRO NOVO DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210320 CHAPADINHA,,,56,36,39,30,37,23,25,2,,,
210325 CIDELANDIA,,,14,30,31,31,32,31,21,32,,,
210330 CODO,,,48,28,28,15,24,35,34,22,,,
210340 COELHO NETO,,,5,11,6,9,7,13,16,7,,,
210350 COLINAS,,,61,42,41,59,76,34,21,12,,,
210355 CONCEICAO DO LAGO-ACU,,,16,31,18,16,20,22,26,18,,,
210360 COROATA,,,29,24,23,20,23,15,7,4,,,
210370 CURURUPU,,,44,33,34,40,29,29,32,14,,,
210375 DAVINOPOLIS,,,-,-,-,-,-,-,-,-,,,
210380 DOM PEDRO,,,28,16,12,25,-,-,-,-,,,
210390 DUQUE BACELAR,,,-,-,-,-,-,-,-,-,,,
210400 ESPERANTINOPOLIS,,,7,30,18,17,23,9,19,17,,,
210405 ESTREITO,,,56,34,19,13,14,14,18,-,,,
210407 FEIRA NOVA DO MARANHAO,,,35,18,21,10,13,13,-,-,,,
210408 FERNANDO FALCAO,,,3,5,1,4,5,4,-,-,,,
210409 FORMOSA DA SERRA NEGRA,,,26,10,26,15,23,23,16,26,,,
210410 FORTALEZA DOS NOGUEIRAS,,,13,6,13,22,14,13,15,-,,,
210420 FORTUNA,,,28,19,21,22,-,-,-,-,,,
210430 GODOFREDO VIANA,,,-,-,-,-,-,-,-,-,,,
210440 GONCALVES DIAS,,,22,30,34,30,-,-,-,-,,,
210450 GOVERNADOR ARCHER,,,10,10,-,-,-,-,-,-,,,
210455 GOVERNADOR EDISON LOBAO,,,7,2,3,6,7,1,2,-,,,
210460 GOVERNADOR EUGENIO BARROS,,,23,34,20,28,12,25,14,-,,,
210462 GOVERNADOR LUIZ ROCHA,,,33,8,27,12,7,9,-,-,,,
210465 GOVERNADOR NEWTON BELLO,,,53,51,17,21,12,15,12,13,,,
210467 GOVERNADOR NUNES FREIRE,,,89,93,79,163,187,150,168,12,,,
210470 GRACA ARANHA,,,9,8,-,-,-,-,-,-,,,
210480 GRAJAU,,,124,110,134,82,75,50,27,35,,,
210490 GUIMARAES,,,16,3,9,9,2,22,5,3,,,
210500 HUMBERTO DE CAMPOS,,,14,16,38,23,24,35,37,-,,,
210510 ICATU,,,7,3,4,6,-,-,-,-,,,
210515 IGARAPE DO MEIO,,,31,-,-,8,-,-,-,-,,,
210520 IGARAPE GRANDE,,,21,13,7,9,8,-,-,-,,,
210530 IMPERATRIZ,,,217,160,124,111,116,93,90,68,,,
210535 ITAIPAVA DO GRAJAU,,,4,6,4,12,6,9,-,-,,,
210540 ITAPECURU MIRIM,,,34,13,5,12,11,8,10,9,,,
210542 ITINGA DO MARANHAO,,,10,8,13,12,-,-,-,-,,,
210545 JATOBA,,,-,-,-,-,-,-,-,-,,,
210547 JENIPAPO DOS VIEIRAS,,,9,6,5,4,3,7,5,-,,,
210550 JOAO LISBOA,,,26,29,21,26,2,-,-,-,,,
210560 JOSELANDIA,,,26,14,28,24,9,11,14,-,,,
210565 JUNCO DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210570 LAGO DA PEDRA,,,108,98,111,89,105,106,5,5,,,
210580 LAGO DO JUNCO,,,7,8,11,6,26,19,28,6,,,
210590 LAGO VERDE,,,-,-,-,-,-,-,-,-,,,
210592 LAGOA DO MATO,,,-,-,-,-,-,-,-,-,,,
210594 LAGO DOS RODRIGUES,,,-,-,-,-,-,-,-,-,,,
210596 LAGOA GRANDE DO MARANHAO,,,24,16,12,13,9,3,40,-,,,
210598 LAJEADO NOVO,,,-,-,-,-,-,-,-,-,,,
210600 LIMA CAMPOS,,,14,22,8,10,9,5,-,-,,,
210610 LORETO,,,39,2,4,5,7,9,4,1,,,
210620 LUIS DOMINGUES,,,-,-,-,-,-,-,-,-,,,
210630 MAGALHAES DE ALMEIDA,,,11,6,17,8,20,-,-,-,,,
210632 MARACACUME,,,-,-,-,-,-,-,-,-,,,
210635 MARAJA DO SENA,,,-,-,-,-,-,-,-,-,,,
210637 MARANHAOZINHO,,,19,29,19,13,23,24,-,-,,,
210640 MATA ROMA,,,-,-,-,-,-,-,-,-,,,
210650 MATINHA,,,1,4,4,3,11,12,17,15,,,
210660 MATOES,,,10,3,11,6,13,5,2,-,,,
210663 MATOES DO NORTE,,,-,-,-,-,-,-,-,-,,,
210667 MILAGRES DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210670 MIRADOR,,,-,-,-,-,-,-,-,-,,,
210675 MIRANDA DO NORTE,,,14,9,7,4,4,3,-,-,,,
210680 MIRINZAL,,,-,-,44,18,29,27,30,-,,,
210690 MONCAO,,,13,11,11,11,17,13,11,7,,,
210700 MONTES ALTOS,,,97,93,31,2,4,5,10,-,,,
210710 MORROS,,,8,4,4,4,7,8,10,2,,,
210720 NINA RODRIGUES,,,18,17,15,13,9,-,-,-,,,
210725 NOVA COLINAS,,,6,6,5,11,5,-,13,7,,,
210730 NOVA IORQUE,,,-,-,-,-,-,-,-,-,,,
210735 NOVA OLINDA DO MARANHAO,,,37,52,37,30,25,39,36,32,,,
210740 OLHO D'AGUA DAS CUNHAS,,,77,52,46,44,68,53,47,-,,,
210745 OLINDA NOVA DO MARANHAO,,,9,10,7,5,6,5,-,-,,,
210750 PACO DO LUMIAR,,,2,5,6,3,3,4,6,5,,,
210760 PALMEIRANDIA,,,13,14,7,3,8,8,7,5,,,
210770 PARAIBANO,,,56,49,81,61,42,18,9,-,,,
210780 PARNARAMA,,,21,22,30,41,29,21,18,8,,,
210790 PASSAGEM FRANCA,,,95,102,97,121,147,117,148,67,,,
210800 PASTOS BONS,,,-,-,-,-,-,-,-,-,,,
210805 PAULINO NEVES,,,-,-,7,7,13,14,5,9,,,
210810 PAULO RAMOS,,,74,43,68,38,-,-,-,-,,,
210820 PEDREIRAS,,,21,28,29,32,30,18,14,-,,,
210825 PEDRO DO ROSARIO,,,15,5,12,12,10,7,10,4,,,
210830 PENALVA,,,3,7,6,7,4,9,5,-,,,
210840 PERI MIRIM,,,-,-,-,-,-,-,-,-,,,
210845 PERITORO,,,11,3,5,6,7,6,3,-,,,
210850 PINDARE-MIRIM,,,9,4,3,8,10,4,5,13,,,
210860 PINHEIRO,,,64,54,45,32,34,43,32,16,,,
210870 PIO XII,,,27,21,26,16,19,22,5,-,,,
210880 PIRAPEMAS,,,8,3,7,13,8,11,11,-,,,
210890 POCAO DE PEDRAS,,,-,-,-,-,-,-,-,-,,,
210900 PORTO FRANCO,,,24,25,6,18,23,9,-,-,,,
210905 PORTO RICO DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210910 PRESIDENTE DUTRA,,,67,28,32,22,12,6,1,-,,,
210920 PRESIDENTE JUSCELINO,,,23,36,14,5,12,15,8,11,,,
210923 PRESIDENTE MEDICI,,,-,-,-,-,-,-,-,-,,,
210927 PRESIDENTE SARNEY,,,34,36,34,36,27,15,23,29,,,
210930 PRESIDENTE VARGAS,,,12,10,10,13,27,-,-,-,,,
210940 PRIMEIRA CRUZ,,,36,28,33,36,45,34,30,-,,,
210945 RAPOSA,,,17,17,9,12,17,8,12,11,,,
210950 RIACHAO,,,56,40,51,30,52,34,-,-,,,
210955 RIBAMAR FIQUENE,,,-,-,-,-,-,-,-,-,,,
210960 ROSARIO,,,17,17,51,29,42,62,63,57,,,
210970 SAMBAIBA,,,6,11,8,14,6,11,18,15,,,
210975 SANTA FILOMENA DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
210980 SANTA HELENA,,,49,23,24,42,43,14,20,-,,,
210990 SANTA INES,,,92,63,58,63,50,7,7,3,,,
211000 SANTA LUZIA,,,32,27,16,21,20,13,14,-,,,
211003 SANTA LUZIA DO PARUA,,,31,36,43,35,52,38,8,5,,,
211010 SANTA QUITERIA DO MARANHAO,,,92,32,75,100,89,40,-,-,,,
211020 SANTA RITA,,,79,30,38,-,-,-,-,-,,,
211023 SANTANA DO MARANHAO,,,17,1,11,19,17,27,22,10,,,
211027 SANTO AMARO DO MARANHAO,,,20,10,11,14,27,8,-,-,,,
211030 SANTO ANTONIO DOS LOPES,,,17,17,26,11,26,19,-,-,,,
211040 SAO BENEDITO DO RIO PRETO,,,15,16,13,7,23,19,8,-,,,
211050 SAO BENTO,,,32,28,19,25,34,25,21,24,,,
211060 SAO BERNARDO,,,39,55,49,61,46,34,35,-,,,
211065 SAO DOMINGOS DO AZEITAO,,,16,21,16,6,7,6,12,12,,,
211070 SAO DOMINGOS DO MARANHAO,,,20,12,8,12,6,7,10,10,,,
211080 SAO FELIX DE BALSAS,,,6,2,7,7,5,5,1,3,,,
211085 SAO FRANCISCO DO BREJAO,,,8,9,10,11,14,10,13,13,,,
211090 SAO FRANCISCO DO MARANHAO,,,18,17,22,27,23,17,5,-,,,
211100 SAO JOAO BATISTA,,,24,-,21,1,14,-,-,-,,,
211102 SAO JOAO DO CARU,,,5,6,5,18,9,5,-,-,,,
211105 SAO JOAO DO PARAISO,,,-,-,-,-,-,-,-,-,,,
211107 SAO JOAO DO SOTER,,,45,31,18,15,16,20,14,-,,,
211110 SAO JOAO DOS PATOS,,,19,15,19,42,28,26,22,10,,,
211120 SAO JOSE DE RIBAMAR,,,4,4,2,5,4,5,3,3,,,
211125 SAO JOSE DOS BASILIOS,,,-,-,-,-,-,-,-,-,,,
211130 SAO LUIS,,,867,488,482,497,475,421,383,146,,,
211140 SAO LUIS GONZAGA DO MARANHAO,,,36,46,22,38,47,42,31,-,,,
211150 SAO MATEUS DO MARANHAO,,,4,5,7,8,7,8,6,5,,,
211153 SAO PEDRO DA AGUA BRANCA,,,25,49,50,9,19,18,25,29,,,
211157 SAO PEDRO DOS CRENTES,,,23,26,20,22,24,15,17,22,,,
211160 SAO RAIMUNDO DAS MANGABEIRAS,,,31,36,30,29,22,20,27,24,,,
211163 SAO RAIMUNDO DO DOCA BEZERRA,,,18,54,10,10,42,10,2,-,,,
211167 SAO ROBERTO,,,-,-,-,-,-,-,-,-,,,
211170 SAO VICENTE FERRER,,,19,16,26,10,5,-,-,-,,,
211172 SATUBINHA,,,18,26,19,26,23,25,27,33,,,
211174 SENADOR ALEXANDRE COSTA,,,7,-,-,-,-,-,-,-,,,
211176 SENADOR LA ROCQUE,,,-,-,-,-,-,-,-,-,,,
211178 SERRANO DO MARANHAO,,,23,14,15,-,-,-,-,-,,,
211180 SITIO NOVO,,,15,25,13,8,6,12,6,13,,,
211190 SUCUPIRA DO NORTE,,,25,41,24,22,27,21,17,-,,,
211195 SUCUPIRA DO RIACHAO,,,4,8,3,11,2,5,3,3,,,
211200 TASSO FRAGOSO,,,3,3,3,4,4,1,3,-,,,
211210 TIMBIRAS,,,21,17,22,9,13,13,8,4,,,
211220 TIMON,,,52,61,32,37,34,29,27,16,,,
211223 TRIZIDELA DO VALE,,,14,27,36,29,21,13,26,12,,,
211227 TUFILANDIA,,,6,6,1,-,2,-,-,-,,,
211230 TUNTUM,,,17,9,7,3,49,55,4,-,,,
211240 TURIACU,,,-,15,7,6,-,-,-,-,,,
211245 TURILANDIA,,,-,-,-,-,-,-,-,-,,,
211250 TUTOIA,,,21,11,31,14,24,24,25,20,,,
211260 URBANO SANTOS,,,34,43,44,38,41,35,43,47,,,
211270 VARGEM GRANDE,,,33,43,44,33,39,39,24,-,,,
211280 VIANA,,,31,17,26,18,20,7,16,11,,,
211285 VILA NOVA DOS MARTIRIOS,,,22,15,6,17,14,9,21,-,,,
211290 VITORIA DO MEARIM,,,9,8,6,4,10,4,3,9,,,
211300 VITORINO FREIRE,,,30,40,62,26,48,50,32,-,,,
211400 ZE DOCA,,,26,23,23,15,18,30,36,-,,,
220005 ACAUA,,,-,-,-,-,-,-,-,-,,,
220010 AGRICOLANDIA,,,1,9,11,7,4,6,5,9,,,
220020 AGUA BRANCA,,,9,19,11,11,11,15,18,7,,,
220025 ALAGOINHA DO PIAUI,,,5,1,-,-,-,-,3,-,,,
220027 ALEGRETE DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220030 ALTO LONGA,,,4,4,-,2,2,3,4,2,,,
220040 ALTOS,,,13,21,18,28,21,13,17,8,,,
220045 ALVORADA DO GURGUEIA,,,-,-,-,-,-,-,-,-,,,
220050 AMARANTE,,,13,10,10,16,15,27,19,21,,,
220060 ANGICAL DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220070 ANISIO DE ABREU,,,-,-,-,-,-,-,-,-,,,
220080 ANTONIO ALMEIDA,,,-,-,-,-,-,-,-,-,,,
220090 AROAZES,,,-,-,-,-,-,-,-,-,,,
220095 AROEIRAS DO ITAIM,,,-,-,-,-,-,-,-,-,,,
220100 ARRAIAL,,,-,4,9,2,1,2,-,1,,,
220105 ASSUNCAO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220110 AVELINO LOPES,,,-,-,-,-,-,-,-,-,,,
220115 BAIXA GRANDE DO RIBEIRO,,,-,-,-,-,-,-,-,-,,,
220117 BARRA D'ALCANTARA,,,-,-,-,-,-,-,-,-,,,
220120 BARRAS,,,16,12,14,14,18,11,10,2,,,
220130 BARREIRAS DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220140 BARRO DURO,,,-,-,-,-,-,-,-,-,,,
220150 BATALHA,,,58,55,27,31,31,32,22,28,,,
220155 BELA VISTA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220157 BELEM DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220160 BENEDITINOS,,,6,2,5,-,1,6,2,1,,,
220170 BERTOLINIA,,,-,-,-,-,-,-,-,-,,,
220173 BETANIA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220177 BOA HORA,,,-,-,-,-,-,-,-,-,,,
220180 BOCAINA,,,-,-,-,-,-,-,-,-,,,
220190 BOM JESUS,,,57,61,32,21,18,26,18,19,,,
220191 BOM PRINCIPIO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220192 BONFIM DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220194 BOQUEIRAO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220196 BRASILEIRA,,,-,-,-,-,-,-,-,-,,,
220198 BREJO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220200 BURITI DOS LOPES,,,-,-,-,-,-,-,-,-,,,
220202 BURITI DOS MONTES,,,-,-,-,-,-,-,-,-,,,
220205 CABECEIRAS DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220207 CAJAZEIRAS DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220208 CAJUEIRO DA PRAIA,,,-,-,-,-,-,-,-,-,,,
220209 CALDEIRAO GRANDE DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220210 CAMPINAS DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220211 CAMPO ALEGRE DO FIDALGO,,,-,-,-,-,-,-,-,-,,,
220213 CAMPO GRANDE DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220217 CAMPO LARGO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220220 CAMPO MAIOR,,,100,80,48,22,30,10,-,-,,,
220225 CANAVIEIRA,,,-,-,-,-,-,-,-,-,,,
220230 CANTO DO BURITI,,,25,21,45,50,73,43,39,34,,,
220240 CAPITAO DE CAMPOS,,,-,-,-,-,-,-,-,-,,,
220245 CAPITAO GERVASIO OLIVEIRA,,,-,-,-,-,-,-,-,-,,,
220250 CARACOL,,,-,-,-,-,-,-,-,-,,,
220253 CARAUBAS DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220255 CARIDADE DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220260 CASTELO DO PIAUI,,,13,12,15,8,15,8,8,3,,,
220265 CAXINGO,,,-,-,-,-,-,-,-,-,,,
220270 COCAL,,,2,10,11,14,11,18,1,-,,,
220271 COCAL DE TELHA,,,-,-,-,-,-,-,-,-,,,
220272 COCAL DOS ALVES,,,-,-,-,-,-,-,-,-,,,
220273 COIVARAS,,,-,-,-,-,-,-,-,-,,,
220275 COLONIA DO GURGUEIA,,,-,-,-,-,-,-,-,-,,,
220277 COLONIA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220280 CONCEICAO DO CANINDE,,,-,-,-,-,-,-,-,-,,,
220285 CORONEL JOSE DIAS,,,-,-,-,-,-,-,-,-,,,
220290 CORRENTE,,,14,11,7,5,1,2,-,4,,,
220300 CRISTALANDIA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220310 CRISTINO CASTRO,,,43,54,15,27,15,41,8,14,,,
220320 CURIMATA,,,46,44,23,29,18,21,9,14,,,
220323 CURRAIS,,,-,-,-,-,-,-,-,-,,,
220325 CURRALINHOS,,,-,-,-,-,-,-,-,-,,,
220327 CURRAL NOVO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220330 DEMERVAL LOBAO,,,33,17,12,55,36,24,22,14,,,
220335 DIRCEU ARCOVERDE,,,-,-,-,-,-,-,-,-,,,
220340 DOM EXPEDITO LOPES,,,-,-,-,-,-,-,-,-,,,
220342 DOMINGOS MOURAO,,,-,-,-,-,-,-,-,-,,,
220345 DOM INOCENCIO,,,-,-,-,-,-,-,-,-,,,
220350 ELESBAO VELOSO,,,15,15,22,21,20,34,27,16,,,
220360 ELISEU MARTINS,,,-,-,-,-,-,-,-,-,,,
220370 ESPERANTINA,,,30,51,33,28,37,33,17,17,,,
220375 FARTURA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220380 FLORES DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220385 FLORESTA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220390 FLORIANO,,,80,71,22,14,-,-,-,-,,,
220400 FRANCINOPOLIS,,,-,-,-,-,-,-,-,-,,,
220410 FRANCISCO AYRES,,,-,-,-,-,-,-,-,-,,,
220415 FRANCISCO MACEDO,,,-,-,-,-,-,-,-,-,,,
220420 FRANCISCO SANTOS,,,-,-,-,-,-,-,-,-,,,
220430 FRONTEIRAS,,,9,58,91,66,65,75,69,48,,,
220435 GEMINIANO,,,-,-,-,-,-,-,-,-,,,
220440 GILBUES,,,-,-,-,-,-,-,-,-,,,
220450 GUADALUPE,,,15,17,11,14,23,15,11,6,,,
220455 GUARIBAS,,,-,-,-,-,-,-,-,-,,,
220460 HUGO NAPOLEAO,,,-,-,-,-,-,-,-,-,,,
220465 ILHA GRANDE,,,-,-,-,-,-,-,-,-,,,
220470 INHUMA,,,1,1,5,4,-,2,-,3,,,
220480 IPIRANGA DO PIAUI,,,-,-,7,1,4,2,3,-,,,
220490 ISAIAS COELHO,,,-,-,-,-,-,-,-,-,,,
220500 ITAINOPOLIS,,,-,-,-,-,-,-,-,-,,,
220510 ITAUEIRA,,,16,17,12,11,9,9,9,6,,,
220515 JACOBINA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220520 JAICOS,,,62,46,71,116,106,82,50,25,,,
220525 JARDIM DO MULATO,,,-,-,-,-,-,-,-,-,,,
220527 JATOBA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220530 JERUMENHA,,,-,-,-,-,-,-,-,-,,,
220535 JOAO COSTA,,,-,-,-,-,-,-,-,-,,,
220540 JOAQUIM PIRES,,,3,8,3,-,2,7,-,-,,,
220545 JOCA MARQUES,,,-,-,-,-,-,-,-,-,,,
220550 JOSE DE FREITAS,,,20,20,23,21,15,18,18,16,,,
220551 JUAZEIRO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220552 JULIO BORGES,,,-,-,-,-,-,-,-,-,,,
220553 JUREMA,,,-,-,-,-,-,-,-,-,,,
220554 LAGOINHA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220555 LAGOA ALEGRE,,,-,-,-,-,-,-,-,-,,,
220556 LAGOA DO BARRO DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220557 LAGOA DE SAO FRANCISCO,,,-,-,-,-,-,-,-,-,,,
220558 LAGOA DO PIAUI,,,-,-,-,-,-,-,-,-,,,
220559 LAGOA DO SITIO,,,-,-,-,-,-,-,-,-,,,
220560 LANDRI SALES,,,-,-,-,-,-,-,-,-,,,
220570 LUIS CORREIA,,,3,4,5,7,5,13,5,2,,,
220580 LUZILANDIA,,,43,27,14,18,20,14,20,17,,,
220585 MADEIRO,,,-,-,-,-,-,-,-,-,,,
220590 MANOEL EMIDIO,,,-,-,-,-,-,-,-,-,,,
